,urls
0,/pagead/clk?mo=r&ad=-6NYlbfkN0CupRqUKQ3UQMA6d95jAjxive_zEx7XsIS3ZsAp5X52OBasycPnV1Yiojb6683h2Zc3woCNGHJEdMdCqQ3IHXKylNdZw7QRaT6ERzB82vxbms9VrBSynH_nR_8p8T0oMo8A3AoE856jtGmBOYj1RVnhyJdUImjcT65kXDkFOqorI46vCc_CDI2YREexBmF51o91DJJYdQsvgBo8gr4dNUxb1rOrhghiuMzoYSVIX_lJouOqkeqC-hnMPqvgHX6Lt3whNmU5-XkTfsfbj-lEUDQBSEDCtWMqBzmzRh6LFptyv_5_zlUht3C9xUEuXfpEpc3E74dUt1up7mm2Q_ewkWMBRBd9yjuxxQWiQwgMBHjQCbc1YDkpUwDFR2l0mgqk0bsmgSPVzqjTUjfytDdmqAGiyJ8Nl7d43nazb4M7ImPz9opvF4Bov9NdTXddkbFay1Wj8NoD5JnKbw==&vjs=3&p=1&sk=&fvj=1
1,/pagead/clk?mo=r&ad=-6NYlbfkN0CC3_2Rv_24Vq7Fmu5-hlnp5bitfzb08yUaNAdmmWA_0CpltNkOXBlOcwmZsMT5-Qctynbu6fsrHMMoTRVehlmJREo-mX9HtoMDavLi83AvXKB0eDD8h_sXftJAcXbnkuiySOdYvT_UU5M7t1pyMZ-QooYIO3KF82R70MZe1sDJQtgEnLofTOvlu3gD5e2Em9PwiiIEPkl9woMVIv8UhUOIViSUvtd9kHM2UTvYxvKxPByXxockpIYdo-dAYiNxLQ_TlkC_-3VwzhwqjhCrZ2osBBmdAdtU7gADaT0Ee4mcZsRGw_JpkUrsMXqy-WMpECIZVYIwdGv6qi5P8nnSCGQy9zfygrOX2Inuhe6PKDdAP6umCETNCbfuTyhlxQIYw7T4EJwj_rZgH4Sts7fH0MACNlPzc6eWTQDToTKlIeI1MPEMfZzkm14mVzARl9-00FpVrpz4d8uv3rgyGvbPUF6j&vjs=3&p=2&sk=&fvj=0
2,/pagead/clk?mo=r&ad=-6NYlbfkN0AtITCNHI2lDy_Yg9zJSFM-u_EEBOug0_ouqPebedESnIk8QAADObLfvx6rITVJdrpeqpzfPrXLMOLtiHHX225u4SSTeaMHDlBeAz-yT-WNZ8LTQGfgB-26XNUeNsDPU_31SzYir2s2LT9poM0FAttBqNf9d3Ii6CXaahJSSgFjQ29eIPiF8l8-ejd6b-Wa7LsKP-n5wZo8LcPSzB6E8sN3lWBaOzaLsCt43X4MCA9UEYbvubQeb0f6ALwNw09CYZ9vaK3qraEtz2KffwjeiFQIZvYA54jw8zDeOA1EJIc1HwkzELHZDn1BTFSfcp40hzLsmzrqbhRW6K6Sj05NnU281jjxnNM07kGxunxVKy8R5x8Hylq3mUPXpXu_qWd3CcR4m6Czc7hmIs0xnkeoa41KzAnDjzkZyWrBMzsA9C6U4JmsSiHJraN6NH4qVLfzKvGXznFJ-TEsZ_5wfiNYk283HcLAfDYWOuPyeU6V8UgI-pa0NVsGHdW30WkmqE3jmR4sCOQpolAkVQrf-tSQ8FP4sBoFQqo0dJ8G9XOr96TPfdZ8hVM-IFKMW4WxWo0OoeCN53aBliPcIJ3GyVANxrf6qZVSnyOkVBlkR_CpDsHlKQ==&vjs=3&p=3&sk=&fvj=0
3,/pagead/clk?mo=r&ad=-6NYlbfkN0AtITCNHI2lDy_Yg9zJSFM-u_EEBOug0_ouqPebedESnIk8QAADObLfvx6rITVJdroHjQtwrSqvM_Dq16BHLl9koN_j66y3YLUVbh35j3tlHV_nWKKHdt1IzT8eBIMwgns6B6J62X0gYkyXeXbLGChjeKR__KdKhodrM4cdheOL5JUB6le0quy8Rh6PwDDFCFUMD8uRZCN-qlXyaolCE2GZlRk5l-r2Izd-E1Vln-A48U0J6LmJy9VOjczHxtJVOgAoQmsqQSB_qI96lo2G1jlRe6LpjrA2gBciRL9jmkD6EOz__MgXL7C8jX8yjFSRKyHEu4kRNf7aDH31_E0pfbl_Fy3ny8Xns0spzFkZVtmtlYEm_8iWdSaMbaUs06ggHL1OiC2H3JHhDH86eBMWOdkUiQ4O1wwfnPZif0OTS4xXd6RN7zy6LeFhv-GdNKoBSk_c5oKoIucXbUQ4SyysnRcWf58bYp1MOY-Km1XK-1AsvkeRlZvkyvbxDuCmTb3SQRH-dC2pzVJwmGDwhjqj9JvgJrFnoqMh-V4eBbzpNrjhXpTBtqW4Z9abKozRTaQVZos6N_dDf-YqiCLyJF6TnfMWS43_xuc2evE=&vjs=3&p=4&sk=&fvj=0
4,/rc/clk?jk=bead4dfb0968e717&fccid=32277d92eb8a3eca&vjs=3
5,/rc/clk?jk=587e7e895d74ee88&fccid=291d6c92a895f751&vjs=3
6,/rc/clk?jk=7d01bcf9370e5924&fccid=4cddfb241cb472e6&vjs=3
7,/rc/clk?jk=77c56b370b91e4a2&fccid=20b669f1c15c56b8&vjs=3
8,/rc/clk?jk=143c8a7f05792240&fccid=a5afd36d1704ce72&vjs=3
9,/company/Pepperstone/jobs/Data-Engineer-5734705c57655e87?fccid=e88de8df8edd9246&vjs=3
10,/rc/clk?jk=49519110bd7e3213&fccid=93e5617653014982&vjs=3
11,/company/IT-Alliance-Australia/jobs/Big-Data-Tester-c57d6d707a49463e?fccid=15c48d9f36fa370b&vjs=3
12,/rc/clk?jk=47e26424fb32314b&fccid=1544766d4c2915b0&vjs=3
13,/rc/clk?jk=cf63087b52bd327e&fccid=16de0bcd23a23c70&vjs=3
