,urls
0,https://www.seek.com.au/job/37356322?type=promoted
1,https://www.seek.com.au/job/37356324?type=promoted
2,https://www.seek.com.au/job/37534874?type=standout
3,https://www.seek.com.au/job/37526372?type=standard
4,https://www.seek.com.au/job/37526371?type=standard
5,https://www.seek.com.au/job/37523326?type=standard
6,https://www.seek.com.au/job/37496879?type=standard
7,https://www.seek.com.au/job/37496878?type=standard
8,https://www.seek.com.au/job/37514926?type=standout
9,https://www.seek.com.au/job/37500977?type=standout
10,https://www.seek.com.au/job/37500976?type=standout
11,https://www.seek.com.au/job/37504057?type=standout
12,https://www.seek.com.au/job/37504058?type=standout
13,https://www.seek.com.au/job/37494852?type=standard
14,https://www.seek.com.au/job/37488561?type=standard
15,https://www.seek.com.au/job/37496511?type=standard
16,https://www.seek.com.au/job/37481726?type=standout
17,https://www.seek.com.au/job/37476100?type=standout
18,https://www.seek.com.au/job/37474600?type=standard
19,https://www.seek.com.au/job/37472488?type=standard
20,https://www.seek.com.au/job/37468644?type=standard
21,https://www.seek.com.au/job/37439346?type=standard
22,https://www.seek.com.au/job/37440471?type=standout
23,https://www.seek.com.au/job/37428690?type=standard
24,https://www.seek.com.au/job/37428985?type=standard
25,https://www.seek.com.au/job/37417688?type=standard
26,https://www.seek.com.au/job/37402812?type=standard
27,https://www.seek.com.au/job/37388007?type=standout
28,https://www.seek.com.au/job/37383851?type=standout
29,https://www.seek.com.au/job/37371542?type=standard
30,https://www.seek.com.au/job/37356803?type=standard
31,https://www.seek.com.au/job/37353685?type=standard
32,https://www.seek.com.au/job/37352461?type=standard
33,https://www.seek.com.au/job/37509273?type=standout
34,https://www.seek.com.au/job/37472706?type=standard
35,https://www.seek.com.au/job/37404314?type=standout
36,https://www.seek.com.au/job/37404315?type=standout
37,https://www.seek.com.au/job/37535549?type=standard
38,https://www.seek.com.au/job/37337926?type=standard
39,https://www.seek.com.au/job/37430175?type=standout
40,https://www.seek.com.au/job/37532531?type=standout
41,https://www.seek.com.au/job/37536939?type=standout
42,https://www.seek.com.au/job/37528559?type=standout
43,https://www.seek.com.au/job/37504434?type=standout
44,https://www.seek.com.au/job/37525315?type=standout
45,https://www.seek.com.au/job/37386211?type=standard
46,https://www.seek.com.au/job/37436554?type=standard
47,https://www.seek.com.au/job/37530369?type=standard
48,https://www.seek.com.au/job/37460977?type=standard
49,https://www.seek.com.au/job/37379188?type=standout
50,https://www.seek.com.au/job/37513645?type=standout
51,https://www.seek.com.au/job/37512942?type=standout
52,https://www.seek.com.au/job/37512024?type=standout
53,https://www.seek.com.au/job/37502197?type=standard
54,https://www.seek.com.au/job/37497607?type=standard
55,https://www.seek.com.au/job/37494485?type=standout
56,https://www.seek.com.au/job/37490054?type=standard
57,https://www.seek.com.au/job/37411124?type=standard
58,https://www.seek.com.au/job/37466061?type=standout
59,https://www.seek.com.au/job/37465911?type=standout
60,https://www.seek.com.au/job/37490437?type=standout
61,https://www.seek.com.au/job/37472408?type=standard
62,https://www.seek.com.au/job/37468231?type=standard
63,https://www.seek.com.au/job/37510549?type=standard
64,https://www.seek.com.au/job/37510548?type=standard
65,https://www.seek.com.au/job/37510349?type=standard
66,https://www.seek.com.au/job/37510350?type=standard
67,https://www.seek.com.au/job/37537878?type=standout
68,https://www.seek.com.au/job/37537800?type=standard
69,https://www.seek.com.au/job/37537650?type=standout
70,https://www.seek.com.au/job/37536466?type=standout
71,https://www.seek.com.au/job/37536060?type=standard
72,https://www.seek.com.au/job/37536227?type=standout
73,https://www.seek.com.au/job/37387665?type=standard
74,https://www.seek.com.au/job/37470931?type=standout
75,https://www.seek.com.au/job/37463233?type=standard
76,https://www.seek.com.au/job/37535375?type=standard
77,https://www.seek.com.au/job/37535070?type=standout
78,https://www.seek.com.au/job/37535307?type=standout
79,https://www.seek.com.au/job/37534880?type=standout
80,https://www.seek.com.au/job/37534775?type=standard
81,https://www.seek.com.au/job/37490630?type=standard
82,https://www.seek.com.au/job/37534460?type=standard
83,https://www.seek.com.au/job/37489315?type=standout
84,https://www.seek.com.au/job/37534404?type=standout
85,https://www.seek.com.au/job/37534489?type=standout
86,https://www.seek.com.au/job/37533982?type=standard
87,https://www.seek.com.au/job/37534284?type=standout
88,https://www.seek.com.au/job/37534096?type=standard
89,https://www.seek.com.au/job/37533732?type=standout
90,https://www.seek.com.au/job/37453510?type=standout
91,https://www.seek.com.au/job/37533481?type=standout
92,https://www.seek.com.au/job/37498101?type=standout
93,https://www.seek.com.au/job/37533240?type=standard
94,https://www.seek.com.au/job/37532572?type=standard
95,https://www.seek.com.au/job/37494511?type=standard
96,https://www.seek.com.au/job/37493991?type=standard
97,https://www.seek.com.au/job/37532017?type=standard
98,https://www.seek.com.au/job/37532237?type=standard
99,https://www.seek.com.au/job/37532236?type=standard
100,https://www.seek.com.au/job/37532235?type=standard
101,https://www.seek.com.au/job/37459592?type=standout
102,https://www.seek.com.au/job/37488044?type=standard
103,https://www.seek.com.au/job/37488006?type=standard
104,https://www.seek.com.au/job/37470737?type=standard
105,https://www.seek.com.au/job/37531418?type=standout
106,https://www.seek.com.au/job/37444357?type=standout
107,https://www.seek.com.au/job/37444356?type=standout
108,https://www.seek.com.au/job/37531396?type=standard
109,https://www.seek.com.au/job/37531372?type=standard
110,https://www.seek.com.au/job/37531373?type=standard
111,https://www.seek.com.au/job/37531462?type=standout
112,https://www.seek.com.au/job/37463078?type=standard
113,https://www.seek.com.au/job/37350431?type=standout
114,https://www.seek.com.au/job/37475914?type=standard
115,https://www.seek.com.au/job/37474493?type=standard
116,https://www.seek.com.au/job/37471704?type=standard
117,https://www.seek.com.au/job/37467092?type=standout
118,https://www.seek.com.au/job/37466963?type=standout
119,https://www.seek.com.au/job/37436152?type=standard
120,https://www.seek.com.au/job/37466247?type=standout
121,https://www.seek.com.au/job/37466248?type=standout
122,https://www.seek.com.au/job/37483433?type=standard
123,https://www.seek.com.au/job/37464567?type=standout
124,https://www.seek.com.au/job/37477494?type=standout
125,https://www.seek.com.au/job/37477493?type=standout
126,https://www.seek.com.au/job/37446892?type=standard
127,https://www.seek.com.au/job/37444077?type=standout
128,https://www.seek.com.au/job/37425628?type=standout
129,https://www.seek.com.au/job/37421281?type=standard
130,https://www.seek.com.au/job/37454837?type=standout
131,https://www.seek.com.au/job/37453414?type=standard
132,https://www.seek.com.au/job/37430625?type=standard
133,https://www.seek.com.au/job/37530444?type=standard
134,https://www.seek.com.au/job/37530424?type=standard
135,https://www.seek.com.au/job/37426709?type=standard
136,https://www.seek.com.au/job/37455050?type=standard
137,https://www.seek.com.au/job/37455051?type=standard
138,https://www.seek.com.au/job/37457009?type=standard
