,urls
0,https://www.seek.com.au/job/37458564?type=promoted
1,https://www.seek.com.au/job/37537274?type=standard
2,https://www.seek.com.au/job/37533996?type=standout
3,https://www.seek.com.au/job/37531245?type=standout
4,https://www.seek.com.au/job/37512698?type=standout
5,https://www.seek.com.au/job/37502840?type=standard
6,https://www.seek.com.au/job/37502839?type=standard
7,https://www.seek.com.au/job/37501492?type=standout
8,https://www.seek.com.au/job/37481754?type=standout
9,https://www.seek.com.au/job/37478907?type=standout
10,https://www.seek.com.au/job/37434519?type=standout
11,https://www.seek.com.au/job/37431064?type=standard
12,https://www.seek.com.au/job/37425989?type=standard
13,https://www.seek.com.au/job/37426176?type=standard
14,https://www.seek.com.au/job/37411798?type=standout
15,https://www.seek.com.au/job/37411237?type=standard
16,https://www.seek.com.au/job/37414875?type=standard
17,https://www.seek.com.au/job/37414874?type=standard
18,https://www.seek.com.au/job/37414678?type=standard
19,https://www.seek.com.au/job/37398284?type=standard
20,https://www.seek.com.au/job/37390234?type=standard
21,https://www.seek.com.au/job/37389415?type=standard
22,https://www.seek.com.au/job/37361762?type=standard
23,https://www.seek.com.au/job/37536135?type=standout
24,https://www.seek.com.au/job/37344366?type=standard
25,https://www.seek.com.au/job/37529971?type=standard
26,https://www.seek.com.au/job/37528258?type=standard
27,https://www.seek.com.au/job/37528159?type=standard
28,https://www.seek.com.au/job/37429173?type=standout
29,https://www.seek.com.au/job/37327044?type=standout
30,https://www.seek.com.au/job/37327370?type=standard
31,https://www.seek.com.au/job/37519161?type=standard
32,https://www.seek.com.au/job/37315678?type=standout
33,https://www.seek.com.au/job/37514937?type=standard
34,https://www.seek.com.au/job/37315009?type=standout
35,https://www.seek.com.au/job/37507370?type=standard
36,https://www.seek.com.au/job/37308269?type=standard
37,https://www.seek.com.au/job/37503514?type=standard
38,https://www.seek.com.au/job/37503315?type=standard
39,https://www.seek.com.au/job/37494594?type=standard
40,https://www.seek.com.au/job/37475293?type=standout
41,https://www.seek.com.au/job/37473753?type=standout
42,https://www.seek.com.au/job/37537724?type=standard
43,https://www.seek.com.au/job/37465093?type=standout
44,https://www.seek.com.au/job/37460289?type=standout
45,https://www.seek.com.au/job/37536880?type=standard
46,https://www.seek.com.au/job/37514003?type=standard
47,https://www.seek.com.au/job/37534341?type=standard
48,https://www.seek.com.au/job/37454464?type=standard
49,https://www.seek.com.au/job/37532809?type=standard
50,https://www.seek.com.au/job/37532571?type=standard
51,https://www.seek.com.au/job/37532397?type=standout
52,https://www.seek.com.au/job/37532403?type=standard
53,https://www.seek.com.au/job/37532404?type=standard
54,https://www.seek.com.au/job/37475876?type=standard
55,https://www.seek.com.au/job/37445989?type=standard
56,https://www.seek.com.au/job/37443157?type=standout
57,https://www.seek.com.au/job/37436728?type=standard
58,https://www.seek.com.au/job/37436141?type=standard
59,https://www.seek.com.au/job/37521845?type=standout
60,https://www.seek.com.au/job/37458564?type=standout
61,https://www.seek.com.au/job/37418234?type=standout
62,https://www.seek.com.au/job/37418184?type=standout
63,https://www.seek.com.au/job/37416823?type=standout
64,https://www.seek.com.au/job/37530336?type=standard
65,https://www.seek.com.au/job/37529964?type=standout
66,https://www.seek.com.au/job/37412763?type=standard
67,https://www.seek.com.au/job/37528391?type=standard
68,https://www.seek.com.au/job/37528069?type=standout
69,https://www.seek.com.au/job/37527721?type=standard
70,https://www.seek.com.au/job/37527661?type=standard
71,https://www.seek.com.au/job/37528220?type=standout
72,https://www.seek.com.au/job/37527531?type=standout
73,https://www.seek.com.au/job/37526025?type=standout
74,https://www.seek.com.au/job/37525065?type=standout
75,https://www.seek.com.au/job/37524303?type=standard
76,https://www.seek.com.au/job/37523649?type=standout
77,https://www.seek.com.au/job/37523138?type=standard
78,https://www.seek.com.au/job/37490351?type=standout
79,https://www.seek.com.au/job/37409290?type=standard
80,https://www.seek.com.au/job/37399827?type=standard
81,https://www.seek.com.au/job/37399826?type=standard
82,https://www.seek.com.au/job/37515520?type=standout
83,https://www.seek.com.au/job/37515005?type=standard
84,https://www.seek.com.au/job/37515027?type=standout
85,https://www.seek.com.au/job/37513870?type=standout
86,https://www.seek.com.au/job/37513586?type=standout
87,https://www.seek.com.au/job/37510959?type=standout
88,https://www.seek.com.au/job/37510564?type=standout
89,https://www.seek.com.au/job/37510146?type=standout
90,https://www.seek.com.au/job/37510085?type=standout
91,https://www.seek.com.au/job/37510081?type=standout
92,https://www.seek.com.au/job/37508867?type=standard
93,https://www.seek.com.au/job/37517165?type=standout
94,https://www.seek.com.au/job/37506798?type=standard
95,https://www.seek.com.au/job/37506385?type=standard
96,https://www.seek.com.au/job/37507241?type=standard
97,https://www.seek.com.au/job/37504591?type=standard
98,https://www.seek.com.au/job/37503999?type=standout
99,https://www.seek.com.au/job/37503953?type=standout
100,https://www.seek.com.au/job/37503954?type=standout
101,https://www.seek.com.au/job/37503477?type=standard
102,https://www.seek.com.au/job/37503190?type=standard
103,https://www.seek.com.au/job/37503166?type=standout
104,https://www.seek.com.au/job/37503165?type=standout
105,https://www.seek.com.au/job/37503093?type=standout
106,https://www.seek.com.au/job/37502832?type=standard
107,https://www.seek.com.au/job/37502242?type=standard
108,https://www.seek.com.au/job/37501414?type=standout
109,https://www.seek.com.au/job/37501515?type=standout
110,https://www.seek.com.au/job/37500361?type=standout
111,https://www.seek.com.au/job/37499983?type=standard
112,https://www.seek.com.au/job/37499567?type=standard
113,https://www.seek.com.au/job/37498615?type=standout
114,https://www.seek.com.au/job/37498595?type=standout
115,https://www.seek.com.au/job/37498564?type=standout
116,https://www.seek.com.au/job/37498331?type=standard
117,https://www.seek.com.au/job/37498198?type=standout
118,https://www.seek.com.au/job/37498174?type=standout
119,https://www.seek.com.au/job/37498165?type=standout
120,https://www.seek.com.au/job/37498160?type=standout
121,https://www.seek.com.au/job/37498097?type=standout
122,https://www.seek.com.au/job/37496942?type=standard
123,https://www.seek.com.au/job/37496824?type=standard
124,https://www.seek.com.au/job/37416460?type=standard
125,https://www.seek.com.au/job/37494214?type=standout
126,https://www.seek.com.au/job/37494085?type=standard
127,https://www.seek.com.au/job/37493838?type=standout
128,https://www.seek.com.au/job/37493837?type=standout
129,https://www.seek.com.au/job/37493810?type=standout
130,https://www.seek.com.au/job/37493403?type=standard
131,https://www.seek.com.au/job/37493402?type=standard
132,https://www.seek.com.au/job/37492495?type=standard
133,https://www.seek.com.au/job/37492692?type=standout
134,https://www.seek.com.au/job/37492380?type=standard
135,https://www.seek.com.au/job/37492381?type=standard
136,https://www.seek.com.au/job/37492379?type=standard
137,https://www.seek.com.au/job/37492376?type=standard
138,https://www.seek.com.au/job/37492378?type=standard
139,https://www.seek.com.au/job/37492377?type=standard
140,https://www.seek.com.au/job/37491941?type=standout
141,https://www.seek.com.au/job/37491253?type=standard
142,https://www.seek.com.au/job/37489731?type=standout
143,https://www.seek.com.au/job/37489096?type=standard
144,https://www.seek.com.au/job/37488498?type=standout
145,https://www.seek.com.au/job/37228891?type=standout
146,https://www.seek.com.au/job/37487645?type=standard
147,https://www.seek.com.au/job/37483686?type=standard
148,https://www.seek.com.au/job/37482897?type=standard
149,https://www.seek.com.au/job/37482552?type=standout
150,https://www.seek.com.au/job/37482551?type=standout
151,https://www.seek.com.au/job/37481880?type=standard
152,https://www.seek.com.au/job/37480396?type=standard
153,https://www.seek.com.au/job/37483394?type=standard
154,https://www.seek.com.au/job/37483552?type=standout
155,https://www.seek.com.au/job/37479547?type=standout
156,https://www.seek.com.au/job/37479033?type=standout
157,https://www.seek.com.au/job/37478496?type=standard
158,https://www.seek.com.au/job/37478299?type=standard
159,https://www.seek.com.au/job/37478089?type=standard
160,https://www.seek.com.au/job/37477865?type=standard
161,https://www.seek.com.au/job/37477339?type=standard
162,https://www.seek.com.au/job/37477008?type=standard
163,https://www.seek.com.au/job/37477278?type=standard
164,https://www.seek.com.au/job/37477158?type=standard
165,https://www.seek.com.au/job/37475983?type=standout
166,https://www.seek.com.au/job/37475982?type=standout
167,https://www.seek.com.au/job/37475666?type=standout
168,https://www.seek.com.au/job/37475665?type=standout
169,https://www.seek.com.au/job/37475610?type=standard
170,https://www.seek.com.au/job/37474947?type=standard
171,https://www.seek.com.au/job/37474016?type=standout
172,https://www.seek.com.au/job/37474015?type=standout
173,https://www.seek.com.au/job/37473598?type=standard
174,https://www.seek.com.au/job/37471999?type=standout
175,https://www.seek.com.au/job/37470983?type=standout
176,https://www.seek.com.au/job/37470935?type=standard
177,https://www.seek.com.au/job/37471000?type=standout
178,https://www.seek.com.au/job/37470613?type=standout
179,https://www.seek.com.au/job/37468312?type=standout
180,https://www.seek.com.au/job/37467174?type=standout
181,https://www.seek.com.au/job/37467178?type=standout
182,https://www.seek.com.au/job/37467173?type=standout
183,https://www.seek.com.au/job/37467175?type=standout
184,https://www.seek.com.au/job/37467172?type=standout
185,https://www.seek.com.au/job/37467179?type=standout
186,https://www.seek.com.au/job/37467177?type=standout
187,https://www.seek.com.au/job/37467176?type=standout
188,https://www.seek.com.au/job/37466682?type=standard
189,https://www.seek.com.au/job/37466362?type=standout
190,https://www.seek.com.au/job/37464594?type=standard
191,https://www.seek.com.au/job/37464193?type=standard
192,https://www.seek.com.au/job/37462687?type=standout
193,https://www.seek.com.au/job/37462381?type=standout
194,https://www.seek.com.au/job/37461558?type=standard
195,https://www.seek.com.au/job/37461557?type=standard
196,https://www.seek.com.au/job/37461553?type=standard
197,https://www.seek.com.au/job/37461554?type=standard
198,https://www.seek.com.au/job/37367149?type=standout
199,https://www.seek.com.au/job/37364668?type=standard
200,https://www.seek.com.au/job/37362929?type=standout
201,https://www.seek.com.au/job/37522787?type=standard
202,https://www.seek.com.au/job/37522786?type=standard
203,https://www.seek.com.au/job/37426628?type=standout
204,https://www.seek.com.au/job/37458645?type=standout
205,https://www.seek.com.au/job/37458350?type=standard
206,https://www.seek.com.au/job/37458209?type=standard
207,https://www.seek.com.au/job/37455033?type=standout
208,https://www.seek.com.au/job/37454584?type=standard
209,https://www.seek.com.au/job/37454583?type=standard
210,https://www.seek.com.au/job/37454582?type=standard
211,https://www.seek.com.au/job/37454585?type=standard
212,https://www.seek.com.au/job/37454445?type=standard
213,https://www.seek.com.au/job/37454233?type=standout
214,https://www.seek.com.au/job/37453782?type=standout
215,https://www.seek.com.au/job/37456961?type=standard
216,https://www.seek.com.au/job/37452526?type=standard
217,https://www.seek.com.au/job/37452051?type=standout
218,https://www.seek.com.au/job/37450918?type=standout
219,https://www.seek.com.au/job/37451018?type=standout
220,https://www.seek.com.au/job/37433698?type=standard
221,https://www.seek.com.au/job/37346724?type=standard
222,https://www.seek.com.au/job/37376335?type=standout
223,https://www.seek.com.au/job/37440887?type=standard
224,https://www.seek.com.au/job/37363270?type=standout
225,https://www.seek.com.au/job/37326715?type=standout
226,https://www.seek.com.au/job/37450949?type=standard
227,https://www.seek.com.au/job/37440909?type=standout
228,https://www.seek.com.au/job/37409670?type=standout
229,https://www.seek.com.au/job/37440533?type=standout
230,https://www.seek.com.au/job/37440581?type=standout
231,https://www.seek.com.au/job/37440205?type=standout
232,https://www.seek.com.au/job/37202855?type=standout
233,https://www.seek.com.au/job/37440007?type=standout
234,https://www.seek.com.au/job/37439942?type=standard
235,https://www.seek.com.au/job/37439554?type=standout
236,https://www.seek.com.au/job/37439499?type=standard
237,https://www.seek.com.au/job/37438549?type=standard
238,https://www.seek.com.au/job/37438144?type=standard
239,https://www.seek.com.au/job/37437319?type=standard
240,https://www.seek.com.au/job/37437318?type=standard
241,https://www.seek.com.au/job/37436645?type=standout
242,https://www.seek.com.au/job/37435908?type=standout
243,https://www.seek.com.au/job/37435881?type=standout
244,https://www.seek.com.au/job/37435759?type=standout
245,https://www.seek.com.au/job/37435385?type=standard
246,https://www.seek.com.au/job/37435064?type=standard
247,https://www.seek.com.au/job/37435027?type=standard
248,https://www.seek.com.au/job/37434556?type=standout
249,https://www.seek.com.au/job/37434251?type=standout
250,https://www.seek.com.au/job/37434176?type=standout
251,https://www.seek.com.au/job/37433499?type=standard
252,https://www.seek.com.au/job/37431826?type=standard
253,https://www.seek.com.au/job/37431888?type=standard
254,https://www.seek.com.au/job/37431065?type=standard
255,https://www.seek.com.au/job/37430977?type=standout
256,https://www.seek.com.au/job/37430721?type=standard
257,https://www.seek.com.au/job/37350885?type=standout
258,https://www.seek.com.au/job/37427895?type=standard
259,https://www.seek.com.au/job/37425869?type=standard
260,https://www.seek.com.au/job/37425630?type=standard
261,https://www.seek.com.au/job/37424215?type=standard
262,https://www.seek.com.au/job/37423737?type=standout
263,https://www.seek.com.au/job/37423509?type=standout
264,https://www.seek.com.au/job/37422021?type=standout
265,https://www.seek.com.au/job/37421162?type=standout
266,https://www.seek.com.au/job/37420381?type=standard
267,https://www.seek.com.au/job/37421904?type=standout
268,https://www.seek.com.au/job/37421931?type=standard
269,https://www.seek.com.au/job/37420216?type=standout
270,https://www.seek.com.au/job/37419986?type=standard
271,https://www.seek.com.au/job/37419605?type=standard
272,https://www.seek.com.au/job/37419236?type=standard
273,https://www.seek.com.au/job/37418065?type=standout
274,https://www.seek.com.au/job/37418064?type=standout
275,https://www.seek.com.au/job/37417035?type=standard
276,https://www.seek.com.au/job/37416630?type=standout
277,https://www.seek.com.au/job/37416631?type=standout
278,https://www.seek.com.au/job/37415628?type=standout
279,https://www.seek.com.au/job/37414871?type=standard
280,https://www.seek.com.au/job/37414592?type=standard
281,https://www.seek.com.au/job/37414433?type=standard
282,https://www.seek.com.au/job/37413947?type=standard
283,https://www.seek.com.au/job/37412918?type=standard
284,https://www.seek.com.au/job/37411478?type=standout
285,https://www.seek.com.au/job/37411207?type=standout
286,https://www.seek.com.au/job/37408775?type=standout
287,https://www.seek.com.au/job/37407878?type=standard
288,https://www.seek.com.au/job/37406890?type=standard
289,https://www.seek.com.au/job/37407064?type=standout
290,https://www.seek.com.au/job/37405523?type=standard
291,https://www.seek.com.au/job/37398863?type=standout
292,https://www.seek.com.au/job/37398709?type=standout
293,https://www.seek.com.au/job/37404214?type=standard
294,https://www.seek.com.au/job/37515871?type=standout
