iter	Logloss	Accuracy
0	0.6761196913	0.8408851423
1	0.661718132	0.8382507903
2	0.6472268339	0.8403582719
3	0.6342942593	0.8398314015
4	0.6207861574	0.8456269758
5	0.6063180116	0.8461538462
6	0.5966457368	0.8377239199
7	0.5855845996	0.8377239199
8	0.5764833017	0.8493150685
9	0.5676920371	0.8477344573
10	0.558089806	0.8556375132
11	0.5497934349	0.8561643836
12	0.5426894291	0.854056902
13	0.5340712193	0.8577449947
14	0.525587126	0.8624868282
15	0.5173603012	0.8645943098
16	0.5104590852	0.8630136986
17	0.5031691319	0.8624868282
18	0.4996715124	0.863540569
19	0.4929036012	0.8667017914
20	0.4864978569	0.8645943098
21	0.4807813207	0.866174921
22	0.4748279809	0.8698630137
23	0.4699473947	0.8667017914
24	0.4651548308	0.8672286617
25	0.4608802234	0.8719704953
26	0.457084257	0.8714436249
27	0.4526099885	0.8698630137
28	0.4488658915	0.8672286617
29	0.4447754165	0.8698630137
30	0.4408392031	0.8703898841
31	0.4368729768	0.8698630137
32	0.4327717321	0.873024236
33	0.4293870014	0.8719704953
34	0.4264858653	0.8709167545
35	0.4225289146	0.8709167545
36	0.4191392994	0.873024236
37	0.4156334738	0.875658588
38	0.4132594728	0.8746048472
39	0.4107262537	0.8746048472
40	0.4078685966	0.8714436249
41	0.4052908055	0.8751317176
42	0.4023443553	0.8740779768
43	0.3997886756	0.8740779768
44	0.3969450894	0.8751317176
45	0.3951456502	0.8761854584
46	0.3933264799	0.8777660695
47	0.3900357818	0.8746048472
48	0.3876956315	0.8767123288
49	0.3847074622	0.8767123288
50	0.3819877296	0.8788198103
51	0.3803135583	0.8788198103
52	0.3789195561	0.8767123288
53	0.3773813739	0.8767123288
54	0.3760450201	0.8777660695
55	0.3742583296	0.8788198103
56	0.3717960947	0.8798735511
57	0.369644653	0.8788198103
58	0.3679443194	0.8798735511
59	0.3661808993	0.8804004215
60	0.3647197825	0.8798735511
61	0.3630492338	0.8804004215
62	0.3616814869	0.8809272919
63	0.3603534848	0.8825079031
64	0.359051736	0.8835616438
65	0.3574152463	0.8830347734
66	0.3553742973	0.8825079031
67	0.3535463714	0.8830347734
68	0.352097669	0.8835616438
69	0.3504005884	0.8825079031
70	0.3485538044	0.8835616438
71	0.3470634692	0.8825079031
72	0.3457245258	0.8840885142
73	0.3446919819	0.8835616438
74	0.3429787078	0.885142255
75	0.3416301146	0.885142255
76	0.340698063	0.8867228662
77	0.3392720781	0.885142255
78	0.3381847864	0.8872497366
79	0.3365116699	0.8893572181
80	0.3354503303	0.8888303477
81	0.3344650279	0.8883034773
82	0.3332178042	0.8872497366
83	0.332681248	0.887776607
84	0.3311705245	0.8867228662
85	0.3298582801	0.8872497366
86	0.3290703618	0.887776607
87	0.3277431844	0.8872497366
88	0.3271104306	0.8883034773
89	0.3261341252	0.8893572181
90	0.3250546243	0.8888303477
91	0.3238691576	0.8893572181
92	0.3228929626	0.8883034773
93	0.32161668	0.8898840885
94	0.3208910713	0.8888303477
95	0.3195628092	0.8914646997
96	0.3185970228	0.8909378293
97	0.3177685961	0.8919915701
98	0.3163362039	0.8919915701
99	0.3154633809	0.8919915701
100	0.3145968277	0.8909378293
101	0.3135291432	0.8914646997
102	0.3126453374	0.8914646997
103	0.3117286335	0.8925184405
104	0.3103580951	0.8930453109
105	0.3091794468	0.8919915701
106	0.3082320558	0.8930453109
107	0.3076334182	0.8904109589
108	0.3064405714	0.8914646997
109	0.3054126261	0.8914646997
110	0.3044004667	0.8935721812
111	0.3036153582	0.8940990516
112	0.3026331107	0.8940990516
113	0.3018915994	0.8940990516
114	0.300752469	0.8925184405
115	0.3000807519	0.8930453109
116	0.2993270925	0.8930453109
117	0.2984270941	0.8930453109
118	0.2972940022	0.8930453109
119	0.2967054394	0.8930453109
120	0.2962267698	0.8930453109
121	0.2950752121	0.8951527924
122	0.2940582107	0.8951527924
123	0.2931362079	0.8951527924
124	0.2916150829	0.8956796628
125	0.2907213111	0.8956796628
126	0.290210231	0.8962065332
127	0.2894206661	0.8977871444
128	0.2886142505	0.8967334036
129	0.2880179125	0.8967334036
130	0.287168779	0.8977871444
131	0.286468677	0.8962065332
132	0.2859195854	0.8956796628
133	0.2851790331	0.8967334036
134	0.28471745	0.8967334036
135	0.2842788668	0.897260274
136	0.2837555236	0.8983140148
137	0.2832772993	0.8983140148
138	0.2823058821	0.8988408851
139	0.2814755135	0.8988408851
140	0.2806363708	0.8993677555
141	0.2800359188	0.8977871444
142	0.2794584452	0.8977871444
143	0.2787724135	0.8977871444
144	0.278208197	0.8977871444
145	0.2771864652	0.8993677555
146	0.2764952088	0.8993677555
147	0.2761209298	0.8988408851
148	0.2748810134	0.8988408851
149	0.2743926866	0.8993677555
150	0.2736617053	0.8993677555
151	0.2731246084	0.8998946259
152	0.2726518538	0.9004214963
153	0.2723594804	0.9004214963
154	0.2717384223	0.9009483667
