iter	Passed	Remaining
0	37	37646
1	97	48511
2	153	50876
3	204	50974
4	265	52913
5	325	53945
6	382	54271
7	435	53994
8	494	54419
9	547	54202
10	586	52748
11	631	51999
12	669	50868
13	712	50206
14	752	49394
15	793	48770
16	845	48909
17	886	48344
18	935	48318
19	985	48293
20	1037	48379
21	1086	48283
22	1131	48071
23	1182	48075
24	1230	47978
25	1274	47762
26	1322	47651
27	1371	47623
28	1415	47396
29	1467	47449
30	1518	47465
31	1582	47877
32	1640	48058
33	1693	48122
34	1738	47929
35	1783	47770
36	1826	47530
37	1873	47422
38	1925	47435
39	1987	47695
40	2042	47765
41	2089	47668
42	2133	47480
43	2176	47280
44	2217	47057
45	2262	46918
46	2308	46807
47	2353	46678
48	2398	46550
49	2455	46648
50	2514	46785
51	2560	46672
52	2611	46657
53	2664	46669
54	2720	46734
55	2771	46718
56	2823	46708
57	2880	46790
58	2933	46789
59	2976	46632
60	3026	46580
61	3068	46418
62	3112	46290
63	3159	46213
64	3204	46093
65	3257	46094
66	3301	45975
67	3350	45924
68	3394	45795
69	3443	45749
70	3486	45618
71	3532	45531
72	3579	45459
73	3624	45359
74	3669	45256
75	3728	45331
76	3791	45445
77	3839	45384
78	3882	45265
79	3926	45157
80	3969	45036
81	4015	44949
82	4061	44873
83	4101	44725
84	4145	44622
85	4189	44529
86	4228	44379
87	4273	44291
88	4315	44177
89	4361	44102
90	4404	43995
91	4449	43918
92	4492	43812
93	4534	43708
94	4579	43628
95	4623	43538
96	4666	43443
97	4709	43349
98	4752	43252
99	4796	43170
100	4859	43252
101	4897	43121
102	4935	42980
103	4970	42826
104	5006	42676
105	5043	42534
106	5080	42403
107	5118	42273
108	5157	42157
109	5192	42013
110	5229	41884
111	5273	41810
112	5331	41847
113	5382	41830
114	5430	41793
115	5476	41735
116	5518	41650
117	5543	41435
118	5591	41395
119	5628	41273
120	5665	41158
121	5702	41039
122	5740	40929
123	5778	40820
124	5816	40714
125	5842	40523
126	5888	40478
127	5937	40447
128	5985	40416
129	6034	40381
130	6084	40359
131	6123	40264
132	6160	40160
133	6198	40057
134	6235	39953
135	6262	39783
136	6301	39694
137	6339	39599
138	6377	39501
139	6407	39360
140	6456	39332
141	6490	39215
142	6540	39195
143	6582	39127
