,variable_RFECV,support,ranking,variable_skb,score
0,employment_type_Casual/Vacation,True,1,experi,2479.0832609240515
1,strong,True,1,develop,1626.896254891815
2,investig,True,1,field_Information & Communication Technology,1276.404733238557
3,involv,True,1,manag,1178.197548754673
4,strategi,True,1,data,1093.7866931325948
5,strateg,True,1,stakehold,1001.0850007919045
6,job,True,1,field_Administration & Office Support,934.9738603590105
7,join,True,1,busi,921.0443512862563
8,interpret,True,1,abil,889.9534981906565
9,join team,True,1,strong,834.2596350849858
10,key respons,True,1,implement,797.5902629252922
11,know,True,1,skill,783.7312829975526
12,strait,True,1,understand,739.7932591988005
13,knowledg experi,True,1,knowledg,715.6882318417266
14,store,True,1,work,714.4064663016204
15,step,True,1,analysi,713.1204442815056
16,leader,True,1,complex,644.8203944955325
17,key,True,1,lead,615.5561858386167
18,interperson,True,1,solut,613.4626508182912
19,intern extern,True,1,technic,590.4061538742013
20,intern,True,1,design,573.8235454610442
21,increas,True,1,technolog,567.8739117529434
22,independ,True,1,project,564.4684537243955
23,individu,True,1,senior,554.8022757496344
24,studi,True,1,requir,547.2813255092075
25,influenc,True,1,use,547.2225302992989
26,years experi,True,1,plan,546.1299694070448
27,inform pleas,True,1,report,541.9247081008244
28,infrastructur,True,1,process,535.5559058226
29,initi,True,1,identifi,520.0310771191001
30,innov,True,1,improv,508.53340521826465
31,input,True,1,environ,488.9706454923376
32,insight,True,1,perform,486.4531462957367
33,institut,True,1,deliv,472.5157578597102
34,insur,True,1,includ,464.03072463089785
35,integr,True,1,team,459.6758624076758
36,student,True,1,strategi,455.3447215499056
37,structur,True,1,ensur,444.98624916045816
38,leadership,True,1,demonstr,443.89518835356074
39,inclus,True,1,analyt,440.8552413589225
40,statu,True,1,build,423.8650509107069
41,state,True,1,model,415.9098615038909
42,mainten,True,1,deliveri,410.9032711836326
43,major,True,1,commun,410.5976471315729
44,specialis,True,1,collabor,410.107356028591
45,manag,True,1,proven,404.68220801377186
46,manag skill,True,1,relat,404.4711808224928
47,mani,True,1,tool,402.49438049765484
48,manner,True,1,document,391.18435582601865
49,maintain,True,1,effect,389.5259304374956
50,manufactur,True,1,tertiari,389.2322879255446
51,south,True,1,level,381.9554661688304
52,master,True,1,relev,381.4097627431786
53,sourc,True,1,integr,378.3638031436631
54,matter,True,1,experi work,368.40884613379745
55,measur,True,1,qualif,365.4258428638776
56,media,True,1,relationship,362.6231809373471
