,urls
0,https://www.seek.com.au/job/37428435?type=promoted
1,https://www.seek.com.au/job/37512965?type=promoted
2,https://www.seek.com.au/job/37523713?type=standout
3,https://www.seek.com.au/job/37523959?type=standard
4,https://www.seek.com.au/job/37522935?type=standard
5,https://www.seek.com.au/job/37522934?type=standard
6,https://www.seek.com.au/job/37522610?type=standard
7,https://www.seek.com.au/job/37521552?type=standard
8,https://www.seek.com.au/job/37521432?type=standard
9,https://www.seek.com.au/job/37519603?type=standard
10,https://www.seek.com.au/job/37515086?type=standout
11,https://www.seek.com.au/job/37517910?type=standard
12,https://www.seek.com.au/job/37513640?type=standout
13,https://www.seek.com.au/job/37512698?type=standout
14,https://www.seek.com.au/job/37516011?type=standout
15,https://www.seek.com.au/job/37513586?type=standout
16,https://www.seek.com.au/job/37516229?type=standard
17,https://www.seek.com.au/job/37516963?type=standard
18,https://www.seek.com.au/job/37516489?type=standout
19,https://www.seek.com.au/job/37514655?type=standard
20,https://www.seek.com.au/job/37507560?type=standard
21,https://www.seek.com.au/job/37512770?type=standard
22,https://www.seek.com.au/job/37426653?type=promoted
23,https://www.seek.com.au/job/37381361?type=promoted
24,https://www.seek.com.au/job/37511442?type=standard
25,https://www.seek.com.au/job/37511374?type=standard
26,https://www.seek.com.au/job/37509010?type=standout
27,https://www.seek.com.au/job/37508526?type=standard
28,https://www.seek.com.au/job/37507091?type=standard
29,https://www.seek.com.au/job/37505245?type=standout
30,https://www.seek.com.au/job/37504720?type=standout
31,https://www.seek.com.au/job/37504481?type=standard
32,https://www.seek.com.au/job/37504383?type=standout
33,https://www.seek.com.au/job/37503530?type=standard
34,https://www.seek.com.au/job/37498101?type=standout
35,https://www.seek.com.au/job/37505875?type=standard
36,https://www.seek.com.au/job/37506167?type=standard
37,https://www.seek.com.au/job/37516457?type=standard
38,https://www.seek.com.au/job/37516420?type=standard
39,https://www.seek.com.au/job/37496965?type=standout
40,https://www.seek.com.au/job/37494189?type=standout
41,https://www.seek.com.au/job/37503536?type=standard
42,https://www.seek.com.au/job/37514468?type=standard
43,https://www.seek.com.au/job/37514368?type=standard
44,https://www.seek.com.au/job/37414127?type=promoted
45,https://www.seek.com.au/job/37400575?type=promoted
46,https://www.seek.com.au/job/37496765?type=standout
